asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_prime,climate_pledge_friendly
B0939K5M9Q,"Samsung Galaxy S21 Ultra | Factory Unlocked Android Cell Phone | US Version 5G Smartphone | Pro-Grade Camera, 8K Video, 108MP High Res | 128GB, Phantom Black (SM-G998UZKAXAA) (Renewed)",$377.00,,USD,4,1334,https://www.amazon.com/dp/B0939K5M9Q,https://m.media-amazon.com/images/I/71c4bP43zpL._AC_SX444_SY639_QL65_.jpg,,$377.00,False,True,True
B09V87YTC9,"SAMSUNG Galaxy A13 LTE Cell Phone, Factory Unlocked Android Smartphone, 32GB, Multi Lens Camera, Infinity-V HD+ Display Screen, Long Battery Life, Expandable Storage, US Version, Black",$169.72,,USD,4.2,294,https://www.amazon.com/dp/B09V87YTC9,https://m.media-amazon.com/images/I/61JfY-8odVL._AC_SX444_SY639_QL65_.jpg,,$169.72,False,True,False
B0BZHQVKVL,Xiaomi Redmi Note 12 Pro 5G + 4G (128GB + 6GB) Factory Unlocked 6.67&quot; 50MP Triple Camera (Only Tmobile/Metro/Mint USA Market) + Extra (w/Fast Car Charger Bundle) (Midnight Black),$239.99,,USD,4.6,97,https://www.amazon.com/dp/B0BZHQVKVL,https://m.media-amazon.com/images/I/612q979anfL._AC_SX444_SY639_QL65_.jpg,,$239.99,False,True,False
B07TWYLQM7,"Apple iPhone SE, 32GB Gray Unlocked 1st Gen 2016 ATT Tmobile",$99.00,,USD,3.3,48,https://www.amazon.com/dp/B07TWYLQM7,https://m.media-amazon.com/images/I/41C2R+ZqZkS._AC_SX444_SY639_QL65_.jpg,,$99.00,False,False,True
B08X2MS5SC,"Samsung Galaxy S21 5G, US Version, 128GB, Phantom Pink - Unlocked (Renewed)",$232.90,$247.00,USD,4.2,566,https://www.amazon.com/dp/B08X2MS5SC,https://m.media-amazon.com/images/I/61YgX12EuXL._AC_SX444_SY639_QL65_.jpg,,$232.90,False,False,True
B09VCPMX4X,"Samsung Galaxy S22 Ultra 5G (SM-S908E/DS) Dual SIM 256GB/ 12GB RAM, GSM Unlocked International Version - Phantom Black",$822.50,,USD,4.4,36,https://www.amazon.com/dp/B09VCPMX4X,https://m.media-amazon.com/images/I/51TvHHYAK+L._AC_SX444_SY639_QL65_.jpg,,$822.50,False,True,False
B0BV7J3KGX,"SAMSUNG Galaxy S23 Ultra 5G S9180 Dual 512GB 12GB RAM, 200 MP Camera, Factory Unlocked, NGP Wireless Charger Included– Green","$1,059.98","$1,199.00",USD,3.7,23,https://www.amazon.com/dp/B0BV7J3KGX,https://m.media-amazon.com/images/I/51mH1rGI3lL._AC_SX444_SY639_QL65_.jpg,,"$1,059.98",False,False,False
B07ZVD93VB,HUAWEI Y9 Prime 2019 STK-LX3 Smartphone 4G 128G Kirin 710 Octa core Auto Pop-Up Triple AI Camera 6.59 inch 4000 mAh Android 9.0(Night Black),$199.05,,USD,,0,https://www.amazon.com/dp/B07ZVD93VB,https://m.media-amazon.com/images/I/41+GOetO65L._AC_SX348_SY500_QL65_.jpg,,$199.05,False,True,False
B08H8DG88R,Samsung - Galaxy A71 A716U 5G Fully Unlocked 128GB - Prism Cube Black (Renewed),$189.95,,USD,4.1,772,https://www.amazon.com/dp/B08H8DG88R,https://m.media-amazon.com/images/I/81F-HsLHt9L._AC_SX444_SY639_QL65_.jpg,,$189.95,False,False,True
B076XLLCQC,"Samsung Galaxy Note 8, 64GB, Midnight Black - Fully Unlocked (Renewed)",$177.78,$358.97,USD,4.3,6922,https://www.amazon.com/dp/B076XLLCQC,https://m.media-amazon.com/images/I/615Y7qMu7lL._AC_SX444_SY639_QL65_.jpg,,$177.78,False,False,True
